zone_id,name,n_years,slope,tau,s,var_s,z,p,p_adjusted,significant,status
LK1124025,Welikada North,12,-0.11153669613056878,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1124030,Nawala West,12,-0.1927616524734142,-0.3333333333333333,-22.0,212.66666666666666,-1.4400235107798574,0.14986074751304912,0.39188937260454626,False,ok
LK1124035,Koswatta,12,-0.10387178053524723,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1124040,Ethulkotte West,12,-0.13384685976996005,-0.3333333333333333,-22.0,212.66666666666666,-1.4400235107798574,0.14986074751304912,0.39188937260454626,False,ok
LK1124045,Ethulkotte,12,-0.2047216795796345,-0.3939393939393939,-26.0,212.66666666666666,-1.714313703309354,0.08647112777407262,0.33447512618165587,False,ok
LK1124050,Pitakotte East,12,-0.1584284435674509,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1124055,Pitakotte,12,0.001973276413086771,0.030303030303030304,2.0,212.66666666666666,0.06857254813237416,0.9453298708327,0.9556238440178112,False,ok
LK1124060,Pitakotte West,12,0.019243743127972786,0.030303030303030304,2.0,212.66666666666666,0.06857254813237416,0.9453298708327,0.9556238440178112,False,ok
LK1124065,Nawala East,12,-0.21249254649779914,-0.3939393939393939,-26.0,212.66666666666666,-1.714313703309354,0.08647112777407262,0.33447512618165587,False,ok
LK1124070,Nugegoda West,12,-0.1241670703151517,-0.24242424242424243,-16.0,212.66666666666666,-1.0285882219856124,0.303673214899419,0.4659668889778964,False,ok
LK1124075,Pagoda,12,-0.05306870479967622,-0.06060606060606061,-4.0,212.66666666666666,-0.20571764439712248,0.837011475105446,0.8779950878224736,False,ok
