zone_id,gi_z_pooled,gi_z_single_sensor,class_pooled,class_single_sensor
LK1118140,-3.309621978247514,-3.3265567757007672,cold_95,cold_95
LK1118145,-2.955288599824449,-2.9603611324763426,cold_95,cold_95
LK1118150,-3.1532358259110516,-3.1561935674530677,cold_99,cold_99
LK1118155,-3.3328653626933535,-3.3156707589571544,cold_99,cold_99
LK1118160,-2.566544835955287,-2.547582588864902,cold_95,cold_95
LK1118165,-3.752409244305991,-3.7245611815776942,cold_99,cold_99
LK1118170,-2.446706182914339,-2.418076090893526,cold_95,cold_95
LK1118175,-2.52719375680885,-2.495186387131639,cold_95,cold_95
LK1118180,-3.2638516494922687,-3.2390895872043814,cold_99,cold_99
LK1118185,-3.1495338905299732,-3.1449555283700126,cold_95,cold_95
LK1118190,-4.200863851563616,-4.188364328876481,cold_99,cold_99
LK1118195,-3.903264561376851,-3.8852002296883077,cold_99,cold_99
LK1118200,-2.546927442027164,-2.5282911830714063,cold_95,cold_95
LK1118205,-2.546927442027164,-2.5282911830714063,cold_95,cold_95
LK1118210,-4.033818508511812,-4.020406505749716,cold_99,cold_99
LK1118215,-3.1583599911350215,-3.1372192530286656,cold_95,cold_95
LK1118220,-4.395290700380199,-4.369350175688834,cold_99,cold_99
LK1118225,-3.820491378410354,-3.8028085127701874,cold_99,cold_99
LK1118230,-4.683020609279295,-4.662165020716798,cold_99,cold_99
LK1121005,3.120799639167028,3.2222467466338998,hot_95,hot_99
LK1121010,2.2999929616672925,2.424772736799461,hot_95,hot_95
LK1121015,1.5085063907538876,1.5608312049138116,ns,ns
LK1121020,0.38495149259878203,0.4783582191831084,ns,ns
LK1121025,0.22663421333843975,0.24389394930875186,ns,ns
LK1121030,-0.1307458844604285,-0.07764121273951478,ns,ns
LK1121035,-0.6574877758670402,-0.5778718580577749,ns,ns
LK1121040,-0.6424674807103538,-0.5011168813808935,ns,ns
LK1121045,-0.5722920463672668,-0.48012124580037707,ns,ns
LK1121050,-0.5811084301433651,-0.49120042307045636,ns,ns
LK1121055,-0.3467385770099974,-0.2779579528848036,ns,ns
LK1121060,-0.29163676784942816,-0.22239084736816622,ns,ns
LK1121065,0.1028899161063746,0.22182656724483593,ns,ns
LK1121070,0.18694888730978623,0.3173102513357469,ns,ns
LK1121075,0.9196713037682342,0.9910150121515844,ns,ns
LK1121080,1.1301929701123539,1.188165779429619,ns,ns
LK1121085,1.653933908864466,1.7150122292603704,ns,ns
LK1121090,2.5129801634166307,2.5850572598471597,hot_95,hot_95
LK1121095,2.023771456253217,2.048871582156542,hot_90,hot_90
LK1121100,2.5026125365263483,2.511072505197013,hot_95,hot_95
LK1121105,1.4346196957241335,1.439183387955379,ns,ns
LK1121110,1.6895765837334131,1.7227491487653837,ns,ns
LK1121115,0.8388717468064036,0.9465044022963319,ns,ns
LK1121120,0.8648763752129556,0.9176339766455065,ns,ns
LK1121125,0.22558099478034654,0.2615848874467005,ns,ns
LK1121130,0.14998486422934917,0.20126100675728598,ns,ns
LK1121135,0.43493727011182487,0.4428372271929881,ns,ns
LK1121140,-0.02480574260881637,-0.003943490087153135,ns,ns
LK1121145,0.12843235367431616,0.13282615602994394,ns,ns
LK1121150,0.023230005316511596,0.03528027483619625,ns,ns
LK1121155,0.3879461244115086,0.4318593977522853,ns,ns
LK1121160,0.7238838843698712,0.7258842907349324,ns,ns
LK1121165,1.0532465323961844,1.105486679604371,ns,ns
LK1121170,1.080507384998875,1.0730671534239757,ns,ns
LK1121175,1.3719276254696875,1.3301566646252068,ns,ns
LK1121180,1.775285155884804,1.7314030417318498,ns,ns
LK1121185,2.4381066285519872,2.4544498312784664,hot_95,hot_95
LK1121190,2.8335359916666105,2.8922411053417645,hot_95,hot_95
LK1121195,2.2741174371503208,2.3233294762714602,hot_95,hot_95
LK1121200,2.2828227472168763,2.3076256930250016,hot_95,hot_95
LK1121205,2.879773163601727,2.8696049970630013,hot_95,hot_95
