zone_id,value,gi_z,p_norm,p_sim,p_adjusted,significant,confidence_class
LK1118100,34.74479974336303,-3.0301961442701257,0.0024439496466507793,0.003,0.011767605633802818,True,cold_95
LK1118105,34.55910913885737,-2.242919253960818,0.02490202191949174,0.025,0.054607843137254905,False,cold_90
LK1118110,34.7271090358489,-3.325528625003368,0.0008825103779015111,0.001,0.005925531914893618,True,cold_99
LK1118115,34.91478321009344,-3.267630733410007,0.0010845176511777228,0.001,0.005925531914893618,True,cold_99
LK1118120,34.397079860444215,-2.817884138306529,0.004834125029071392,0.003,0.011767605633802818,True,cold_95
LK1118125,34.46154135546131,-3.2539584329445224,0.0011380893123055084,0.001,0.005925531914893618,True,cold_99
LK1118130,34.861189502475106,-2.308503774007206,0.020971133170434836,0.019,0.04484322033898305,True,cold_95
LK1118135,35.5988686798997,-2.2249778970772875,0.026082721983019294,0.012,0.031528301886792454,True,cold_95
LK1118140,34.68244522938807,-2.9355815553772904,0.0033292308314017073,0.003,0.011767605633802818,True,cold_95
LK1118145,34.904216954378754,-2.564718417961365,0.010325956590824862,0.005,0.016577380952380955,True,cold_95
LK1118150,34.30740025785373,-2.7572090602209003,0.005829706606531225,0.004,0.014374193548387098,True,cold_95
LK1118155,34.811681422198006,-3.0312699355472175,0.0024352742714512893,0.001,0.005925531914893618,True,cold_99
LK1118160,34.47962404208016,-2.3183551761554915,0.020430026002532374,0.021,0.0487375,True,cold_95
LK1118165,34.41503318667973,-3.532074497900431,0.0004123131812076515,0.001,0.005925531914893618,True,cold_99
LK1118170,34.72198880360489,-2.3648340469537983,0.018038151782715676,0.017,0.0408146551724138,True,cold_95
LK1118175,34.16492017544102,-2.4265333753816516,0.015243848133052249,0.018,0.042846153846153846,True,cold_95
LK1118180,34.99017198006034,-2.952990732202077,0.0031471141132950456,0.001,0.005925531914893618,True,cold_99
LK1118185,34.04538955084647,-2.825107317302022,0.004726478266716206,0.002,0.009858407079646019,True,cold_99
LK1118190,33.36203068935452,-3.627742885284147,0.0002859097688744732,0.001,0.005925531914893618,True,cold_99
LK1118195,34.33866459163707,-3.413076465908105,0.0006423391627982056,0.001,0.005925531914893618,True,cold_99
LK1118200,34.6182834656884,-2.1314107023641267,0.03305532194698251,0.03,0.06281954887218046,False,cold_90
LK1118205,34.61766788236081,-2.1314107023641267,0.03305532194698251,0.03,0.06281954887218046,False,cold_90
LK1118210,33.669757302175206,-3.313581177018558,0.0009210936510280392,0.001,0.005925531914893618,True,cold_99
LK1118215,34.50942362449083,-2.626017778975195,0.008639030489888958,0.005,0.016577380952380955,True,cold_95
LK1118220,34.21157363500563,-3.8096205959971736,0.00013918020670316558,0.001,0.005925531914893618,True,cold_99
LK1118225,31.669100634718014,-3.387146793938355,0.0007062358907077413,0.002,0.009858407079646019,True,cold_99
LK1118230,32.00132665636614,-4.028200963576559,5.6205291342965555e-05,0.001,0.005925531914893618,True,cold_99
LK1121005,40.62805368646112,2.6459774938158716,0.008145523570731436,0.011,0.02974271844660194,True,hot_95
LK1121010,38.79863510871424,1.7349807382050408,0.08274421699815965,0.058,0.10592131147540985,False,ns
LK1121015,37.99833053939621,0.9394170727684453,0.3475166507995501,0.185,0.25132926829268293,False,ns
LK1121020,37.345541181893786,-0.1058592424224339,0.9156940321389321,0.478,0.48320508166969145,False,ns
LK1121025,38.25717457996386,-0.2540809590839771,0.7994330132272152,0.36,0.40103999999999995,False,ns
LK1121030,36.61719149281471,-0.6182274641170807,0.5364254085661747,0.316,0.36441407867494824,False,ns
LK1121035,36.50497640756667,-1.0034304844082749,0.3156532018274013,0.188,0.2529371980676328,False,ns
LK1121040,36.96875624781294,-0.8581602255518601,0.39080399546900224,0.209,0.2732699530516432,False,ns
LK1121045,37.11928579117863,-0.6672316917742065,0.5046241508070671,0.261,0.31811159737417943,False,ns
LK1121050,38.492915030691805,-0.6301666042442182,0.5285855864674095,0.208,0.2732452830188679,False,ns
LK1121055,36.545478207537016,-0.7750879449528326,0.43828769444461446,0.263,0.319849344978166,False,ns
