zone_id,observed_lst_c,greened_lst_c,delta_c,rank,priority
LK1112215,36.82662898879362,36.82662898879362,-6.966105252550002e-16,345,False
LK1112220,37.0657099683647,37.0657099683647,1.2043097216272884e-16,344,False
LK1112225,37.041542467913644,37.041542467913644,2.4501473646900006e-16,341,False
LK1112230,37.12384478193511,37.12384478193511,7.599387548236365e-17,304,False
LK1112235,39.540548773997735,39.540548773997735,-4.179663151530001e-16,165,False
LK1112240,37.37846928829632,37.37846928829632,-9.733462133700002e-17,291,False
LK1112245,35.86681051560601,35.86681051560601,3.43811001174242e-16,364,False
LK1112250,34.926880463586535,34.926880463586535,0.0,403,False
LK1112255,35.06835720100917,35.06835720100917,-2.631639762074445e-16,406,False
LK1112260,35.66537883087937,35.66537883087937,-3.739698609263685e-16,379,False
LK1112265,35.54249980851377,35.54249980851377,1.8064645824409328e-16,405,False
LK1112270,34.665491582530876,34.665491582530876,1.0297720808117394e-16,455,False
LK1112275,35.35044406752575,35.35044406752575,-3.062684205862501e-17,426,False
LK1112280,34.75463671983504,34.75463671983504,-2.599546594244269e-16,452,False
LK1112285,34.29270724142959,34.29270724142959,0.0,465,False
LK1112290,34.55678481365921,34.55678481365921,-2.8084693113047436e-17,410,False
LK1112295,34.22332760466819,34.22332760466819,2.3843715965104033e-16,448,False
LK1112300,34.854302120845894,34.854302120845894,0.0,402,False
LK1112305,35.53545082143716,35.535450821437166,1.2393187251629654e-16,378,False
LK1112310,38.21666503411096,38.21666503411096,-8.074349270001138e-16,249,False
LK1112315,35.89902439930131,35.89902439930131,4.332577657073782e-17,370,False
LK1112320,35.84641478598143,35.84641478598143,-4.697803211637026e-16,387,False
LK1112325,35.76098437032804,35.76098437032804,-2.4223047810003414e-16,375,False
LK1112330,35.29477756289865,35.29477756289865,6.40128590774865e-17,384,False
LK1112335,35.43153346742608,35.43153346742608,-2.9605947323337506e-16,381,False
LK1112340,35.36023007042125,35.36023007042125,4.254746920719163e-17,390,False
LK1112345,34.39132291605498,34.39132291605498,0.0,417,False
LK1112350,34.85299205465638,34.85299205465638,-4.2877578882075013e-16,377,False
LK1112355,34.80527197599787,34.80527197599787,-1.8219044506669235e-16,440,False
LK1112360,34.52388764370173,34.52388764370173,-2.5721004009415394e-16,427,False
LK1112365,35.483420799723156,35.483420799723156,-2.7974123455122054e-16,368,False
LK1112370,34.92009348837442,34.92009348837442,-9.868649107779169e-17,397,False
